,mfg,sell,demand,fcost,rma
99,308,680.6800000000001,2274,215.6,2
100,136,300.56,5803,95.2,3
101,413,912.73,5391,289.1,2
102,165,364.65,2449,115.5,1
103,154,340.34000000000003,1738,107.8,1
104,278,614.38,2281,194.6,3
105,146,322.65999999999997,5093,102.2,2
106,246,543.66,3139,172.2,2
107,150,331.5,1584,105.0,3
108,238,525.98,6499,166.6,2
109,178,393.38,4905,124.6,3
110,399,881.79,1803,279.3,1
111,144,318.24,6170,100.8,3
112,300,663.0,6870,210.0,2
113,197,435.36999999999995,4002,137.9,2
114,484,1069.6399999999999,6540,338.8,1
115,137,302.77,4129,95.9,3
116,345,762.45,4764,241.5,2
117,176,388.96,2630,123.2,3
118,242,534.8199999999999,5765,169.4,3
119,183,404.43,2157,128.1,3
120,432,954.72,3324,302.4,2
121,358,791.1800000000001,6060,250.60000000000002,2
122,117,258.57,1816,81.9,1
123,460,1016.6,4670,322.0,2
124,155,342.55,6197,108.5,1
125,401,886.21,5383,280.7,2
126,360,795.6,2598,252.0,1
127,189,417.69,4262,132.3,2
128,319,704.9899999999999,5824,223.3,2
129,88,194.48,1752,61.6,2
130,489,1080.69,3816,342.3,1
131,122,269.62,3176,85.4,3
132,472,1043.12,2050,330.4,3
133,217,479.56999999999994,2113,151.9,2
134,300,663.0,2461,210.0,1
135,277,612.17,3922,193.9,3
136,163,360.23,3702,114.1,2
137,240,530.4,2990,168.0,3
138,486,1074.06,3278,340.2,2
139,468,1034.28,4167,327.6,2
140,449,992.29,5072,314.3,3
141,319,704.9899999999999,3070,223.3,1
142,325,718.25,3806,227.5,3
143,374,826.54,5670,261.8,1
144,367,811.0699999999999,5586,256.9,2
145,320,707.2,5002,224.0,2
146,363,802.23,2604,254.10000000000002,3
147,461,1018.8100000000001,3840,322.7,1
148,54,119.34,1846,37.8,1
149,236,521.56,5325,165.2,2
150,62,137.02,1701,43.4,3
151,497,1098.37,4535,347.9,3
152,421,930.4100000000001,1958,294.7,2
153,78,172.38,3837,54.6,3
154,213,470.73,6621,149.1,3
155,352,777.92,4652,246.4,1
156,207,457.46999999999997,4673,144.9,1
157,439,970.1899999999999,4564,307.3,2
158,254,561.34,4958,177.8,3
159,419,925.9899999999999,3929,293.3,1
160,283,625.4300000000001,2788,198.1,3
161,93,205.53,5448,65.1,3
162,221,488.40999999999997,5133,154.7,1
163,196,433.15999999999997,1870,137.2,1
164,463,1023.23,5718,324.1,1
165,246,543.66,5457,172.2,2
166,446,985.6600000000001,5943,312.2,3
167,466,1029.8600000000001,6581,326.2,1
168,146,322.65999999999997,2124,102.2,2
169,252,556.92,6829,176.4,3
170,91,201.10999999999999,3908,63.7,3
171,340,751.4,5010,238.0,1
172,57,125.97,4220,39.9,3
173,263,581.23,3985,184.1,2
174,160,353.6,5456,112.0,2
175,67,148.07,6684,46.9,2
176,140,309.4,3638,98.0,2
177,293,647.53,4308,205.1,3
178,287,634.27,4861,200.9,2
179,411,908.3100000000001,3199,287.7,2
180,80,176.8,5755,56.0,2
181,464,1025.44,2312,324.8,3
182,476,1051.96,5040,333.2,2
183,439,970.1899999999999,6730,307.3,1
184,456,1007.76,5163,319.2,3
185,71,156.91,6236,49.7,3
186,420,928.2,5467,294.0,1
187,344,760.2399999999999,5503,240.8,1
188,490,1082.9,2179,343.0,3
189,286,632.06,1577,200.2,2
190,134,296.14,4655,93.8,3
191,354,782.3399999999999,2111,247.8,3
192,296,654.16,2686,207.2,3
193,335,740.35,1645,234.5,3
194,404,892.8399999999999,2601,282.8,2
195,65,143.65,6353,45.5,3
196,428,945.88,1829,299.6,2
197,368,813.28,5329,257.6,2
198,348,769.08,1936,243.60000000000002,2
199,375,828.75,4468,262.5,2
200,240,530.4,3369,168.0,3
201,54,119.34,4880,37.8,1
202,461,1018.8100000000001,1531,322.7,1
203,190,419.9,5765,133.0,1
204,55,121.55,2650,38.5,3
205,404,892.8399999999999,2168,282.8,1
206,141,311.61,4143,98.7,2
207,73,161.32999999999998,2368,51.1,2
208,363,802.23,2692,254.10000000000002,2
209,396,875.1600000000001,2585,277.2,3
210,370,817.7,2001,259.0,2
211,367,811.0699999999999,4912,256.9,3
212,335,740.35,5080,234.5,3
213,271,598.91,3561,189.7,3
214,116,256.36,3031,81.2,1
215,247,545.87,6529,172.9,3
216,165,364.65,5779,115.5,2
217,266,587.86,6682,186.2,1
218,421,930.4100000000001,5147,294.7,3
219,154,340.34000000000003,4005,107.8,3
220,287,634.27,6657,200.9,2
221,305,674.05,5783,213.5,3
222,79,174.59,2459,55.3,2
223,485,1071.85,5901,339.5,3
224,228,503.88,6535,159.6,3
225,438,967.98,6940,306.6,2
226,178,393.38,5564,124.6,3
227,83,183.43,2730,58.1,2
228,199,439.79,4650,139.3,2
229,236,521.56,3583,165.2,2
230,199,439.79,2330,139.3,2
231,498,1100.58,3181,348.6,3
232,369,815.4899999999999,5954,258.3,3
233,151,333.71,6534,105.7,3
234,78,172.38,4541,54.6,2
235,344,760.2399999999999,3102,240.8,2
236,156,344.76,5971,109.2,1
237,118,260.78,6531,82.6,2
238,203,448.63,3181,142.1,2
239,436,963.5600000000001,4035,305.2,2
240,169,373.49,2927,118.30000000000001,2
241,350,773.5,3964,245.0,3
242,379,837.5899999999999,1811,265.3,2
243,369,815.4899999999999,6757,258.3,1
244,375,828.75,4263,262.5,2
245,323,713.83,1694,226.10000000000002,1
246,390,861.9,5084,273.0,1
247,444,981.2399999999999,1540,310.8,1
248,268,592.28,6047,187.6,3
249,113,249.73,4805,79.1,2
250,439,970.1899999999999,3225,307.3,1
251,319,704.9899999999999,6867,223.3,3
252,399,881.79,5149,279.3,1
253,168,371.28000000000003,4098,117.6,1
254,154,340.34000000000003,6128,107.8,3
255,113,249.73,5205,79.1,2
256,399,881.79,3907,279.3,1
257,169,373.49,3469,118.30000000000001,3
258,154,340.34000000000003,4513,107.8,3
259,260,574.6,2495,182.0,2
260,108,238.68,5132,75.6,1
261,295,651.95,6525,206.5,1
262,230,508.3,6372,161.0,2
263,253,559.13,6099,177.1,1
264,451,996.71,3514,315.7,2
265,384,848.6399999999999,4746,268.8,2
266,215,475.15,1563,150.5,3
267,474,1047.54,4471,331.8,2
268,303,669.63,6852,212.1,1
269,264,583.44,3910,184.8,3
270,389,859.6899999999999,6977,272.3,1
271,283,625.4300000000001,3529,198.1,3
272,454,1003.3399999999999,4180,317.8,3
273,175,386.75,5345,122.5,2
274,329,727.0899999999999,4198,230.3,1
275,304,671.8399999999999,6544,212.8,3
276,493,1089.53,2720,345.1,2
277,499,1102.79,5069,349.3,2
278,377,833.17,2248,263.9,3
279,192,424.31999999999994,4560,134.4,3
280,252,556.92,2618,176.4,1
281,475,1049.75,1992,332.5,2
282,443,979.03,3855,310.1,2
283,69,152.49,2714,48.3,2
284,426,941.46,6582,298.2,2
285,160,353.6,3353,112.0,1
286,183,404.43,4966,128.1,1
287,481,1063.01,6119,336.7,1
288,177,391.16999999999996,6728,123.9,2
289,210,464.1,1622,147.0,1
290,358,791.1800000000001,5261,250.60000000000002,3
291,211,466.31,5159,147.7,1
292,69,152.49,3283,48.3,3
293,156,344.76,3525,109.2,2
294,234,517.14,6470,163.8,1
295,54,119.34,4266,37.8,2
296,474,1047.54,5521,331.8,1
297,384,848.6399999999999,3221,268.8,1
298,248,548.08,2605,173.6,1
299,84,185.64000000000001,6704,58.8,3
300,80,176.8,3604,56.0,3
301,171,377.90999999999997,2280,119.7,2
302,121,267.40999999999997,3702,84.7,1
303,309,682.8899999999999,5026,216.3,2
304,175,386.75,2425,122.5,1
305,470,1038.7,2319,329.0,3
306,269,594.49,6493,188.3,1
307,260,574.6,6277,182.0,2
308,219,483.99,4838,153.3,1
309,226,499.46,2431,158.2,2
310,105,232.05,4809,73.5,1
311,184,406.64,5983,128.8,1
312,154,340.34000000000003,2150,107.8,3
313,215,475.15,5101,150.5,3
314,180,397.8,1528,126.0,3
315,230,508.3,4579,161.0,3
316,313,691.73,5527,219.1,2
317,241,532.61,2878,168.7,1
318,291,643.11,3303,203.7,1
319,417,921.5699999999999,2414,291.9,3
320,253,559.13,4567,177.1,2
321,270,596.7,2743,189.0,2
322,175,386.75,3241,122.5,1
323,225,497.25,4586,157.5,3
324,434,959.1399999999999,2631,303.8,1
325,205,453.05,2637,143.5,1
326,403,890.63,6506,282.1,1
327,442,976.8199999999999,6218,309.4,2
328,390,861.9,4464,273.0,1
329,415,917.15,1508,290.5,3
330,354,782.3399999999999,3779,247.8,2
331,354,782.3399999999999,3648,247.8,3
332,296,654.16,4658,207.2,2
333,385,850.85,5009,269.5,2
334,447,987.87,4282,312.9,3
335,197,435.36999999999995,1631,137.9,3
336,260,574.6,6333,182.0,1
337,179,395.59000000000003,6090,125.30000000000001,2
338,99,218.79000000000002,1658,69.3,2
339,328,724.88,5865,229.60000000000002,1
340,419,925.9899999999999,4231,293.3,2
341,52,114.92,2488,36.4,2
342,393,868.53,2304,275.1,1
343,52,114.92,2922,36.4,3
344,181,400.01,2926,126.7,1
345,281,621.01,1890,196.7,2
346,465,1027.65,6585,325.5,3
347,484,1069.6399999999999,4250,338.8,3
348,481,1063.01,3127,336.7,3
349,121,267.40999999999997,5361,84.7,1
350,198,437.58000000000004,3681,138.6,2
351,90,198.9,6666,63.0,3
352,212,468.52,3829,148.4,3
353,278,614.38,5455,194.6,2
354,441,974.61,3168,308.7,3
355,218,481.78000000000003,2282,152.6,3
356,263,581.23,5982,184.1,2
357,487,1076.27,6963,340.9,2
358,472,1043.12,2509,330.4,2
359,184,406.64,2390,128.8,1
360,61,134.81,1759,42.7,1
361,170,375.7,6063,119.0,3
362,105,232.05,4021,73.5,3
363,361,797.8100000000001,4865,252.7,3
364,440,972.4,3559,308.0,2
365,372,822.12,1576,260.4,3
366,121,267.40999999999997,3214,84.7,2
367,225,497.25,3922,157.5,2
368,67,148.07,4087,46.9,2
369,161,355.81,4200,112.7,1
370,273,603.33,3991,191.1,3
371,223,492.83000000000004,1869,156.1,3
372,346,764.6600000000001,5685,242.2,1
373,236,521.56,5225,165.2,3
374,154,340.34000000000003,3991,107.8,2
375,438,967.98,3423,306.6,3
376,105,232.05,5111,73.5,2
377,131,289.51,3115,91.7,1
378,483,1067.43,6165,338.1,3
379,347,766.87,2268,242.9,2
380,490,1082.9,4718,343.0,3
381,104,229.84,3489,72.8,1
382,484,1069.6399999999999,4644,338.8,1
383,170,375.7,6007,119.0,3
384,318,702.78,5720,222.6,3
385,340,751.4,5868,238.0,2
386,205,453.05,6322,143.5,1
387,116,256.36,5183,81.2,2
388,399,881.79,4488,279.3,2
389,326,720.46,6368,228.2,3
390,301,665.21,4865,210.7,1
391,278,614.38,6159,194.6,2
392,56,123.76,2824,39.2,1
393,97,214.37,4297,67.9,1
394,206,455.26,2794,144.2,2
395,197,435.36999999999995,2128,137.9,1
396,228,503.88,6234,159.6,2
397,412,910.52,6133,288.4,2
398,154,340.34000000000003,3293,107.8,2
399,386,853.0600000000001,3902,270.2,1
400,447,987.87,6828,312.9,2
401,161,355.81,4861,112.7,3
402,301,665.21,6079,210.7,3
403,60,132.6,3203,42.0,1
404,385,850.85,4340,269.5,3
405,472,1043.12,2364,330.4,2
406,200,442.0,6712,140.0,3
407,118,260.78,5888,82.6,2
408,93,205.53,3239,65.1,1
409,253,559.13,5376,177.1,1
410,300,663.0,4235,210.0,1
411,352,777.92,1928,246.4,1
412,299,660.79,6068,209.3,2
413,345,762.45,2943,241.5,2
414,154,340.34000000000003,6962,107.8,1
415,213,470.73,2517,149.1,2
416,462,1021.02,6850,323.4,1
417,367,811.0699999999999,3895,256.9,1
418,303,669.63,4524,212.1,2
419,107,236.47,5218,74.9,3
420,350,773.5,4714,245.0,1
421,75,165.75,4044,52.5,1
422,166,366.86,6406,116.2,2
423,305,674.05,2954,213.5,3
424,452,998.92,3210,316.4,1
425,467,1032.07,4364,326.9,1
426,251,554.71,4448,175.7,2
427,438,967.98,3355,306.6,2
428,164,362.44,3269,114.80000000000001,2
429,138,304.98,1593,96.6,2
430,194,428.74,3461,135.8,1
431,358,791.1800000000001,2970,250.60000000000002,1
432,460,1016.6,6337,322.0,1
433,108,238.68,2751,75.6,2
434,353,780.13,3179,247.10000000000002,1
435,96,212.15999999999997,4266,67.2,2
436,118,260.78,2258,82.6,2
437,469,1036.49,6388,328.3,3
438,457,1009.97,1535,319.9,1
439,347,766.87,5566,242.9,1
440,103,227.63,6875,72.1,3
441,322,711.62,2040,225.4,2
442,494,1091.74,4380,345.8,2
443,397,877.37,2654,277.9,3
444,66,145.86,5701,46.2,1
445,126,278.46,6213,88.2,2
446,58,128.18,6736,40.6,1
447,427,943.67,5846,298.9,3
448,473,1045.33,1950,331.1,2
449,219,483.99,3065,153.3,2
450,97,214.37,3496,67.9,2
451,258,570.1800000000001,3553,180.6,2
452,249,550.29,4305,174.3,1
453,435,961.35,6581,304.5,2
454,496,1096.16,1643,347.2,3
455,74,163.54,1937,51.8,2
456,373,824.33,2831,261.1,2
457,378,835.38,2755,264.6,1
458,490,1082.9,3526,343.0,3
459,210,464.1,3168,147.0,2
460,187,413.27,5272,130.9,1
461,491,1085.1100000000001,5897,343.7,3
462,360,795.6,3219,252.0,1
463,324,716.04,3478,226.8,3
464,327,722.67,4941,228.9,2
465,434,959.1399999999999,2679,303.8,2
466,124,274.04,2718,86.8,2
467,77,170.17000000000002,3413,53.9,3
468,391,864.11,3160,273.7,2
469,316,698.36,3728,221.2,3
470,393,868.53,6890,275.1,2
471,166,366.86,5011,116.2,3
472,148,327.08,6028,103.6,1
473,241,532.61,4662,168.7,3
474,456,1007.76,5987,319.2,3
475,87,192.27,2893,60.900000000000006,3
476,233,514.9300000000001,3792,163.1,1
477,249,550.29,1633,174.3,1
478,270,596.7,6268,189.0,1
479,59,130.39,2853,41.3,1
480,482,1065.22,3216,337.4,2
481,301,665.21,4276,210.7,2
482,120,265.2,4197,84.0,1
483,354,782.3399999999999,4329,247.8,2
484,230,508.3,2146,161.0,1
485,302,667.42,4815,211.4,3
486,395,872.95,4403,276.5,2
487,323,713.83,1597,226.10000000000002,1
488,476,1051.96,4207,333.2,2
489,129,285.09000000000003,3784,90.3,3
490,281,621.01,1713,196.7,3
491,442,976.8199999999999,3390,309.4,3
492,378,835.38,4146,264.6,3
493,156,344.76,2646,109.2,2
494,389,859.6899999999999,4382,272.3,2
495,351,775.71,4760,245.7,2
496,278,614.38,4808,194.6,3
497,453,1001.13,4335,317.1,2
498,141,311.61,5734,98.7,3
499,137,302.77,4138,95.9,1
500,364,804.4399999999999,2206,254.8,3
501,384,848.6399999999999,4047,268.8,1
502,393,868.53,4221,275.1,1
503,252,556.92,4608,176.4,2
504,199,439.79,4360,139.3,2
505,433,956.9300000000001,1691,303.1,3
506,425,939.25,5892,297.5,1
507,491,1085.1100000000001,5470,343.7,1
508,57,125.97,4584,39.9,3
509,355,784.55,4882,248.5,2
510,294,649.74,1885,205.8,1
511,110,243.1,2539,77.0,2
512,164,362.44,5114,114.80000000000001,2
513,468,1034.28,4142,327.6,2
514,222,490.61999999999995,6185,155.4,3
515,202,446.41999999999996,5178,141.4,2
516,352,777.92,2981,246.4,1
517,438,967.98,3002,306.6,3
518,123,271.83,6270,86.1,3
519,435,961.35,5523,304.5,2
520,200,442.0,4612,140.0,2
521,64,141.44,5279,44.8,1
522,125,276.25,5560,87.5,3
523,496,1096.16,5634,347.2,1
524,406,897.26,5431,284.2,1
525,77,170.17000000000002,4134,53.9,3
526,359,793.3899999999999,3027,251.3,1
527,326,720.46,2166,228.2,1
528,278,614.38,6385,194.6,3
529,402,888.42,6372,281.4,2
530,318,702.78,2311,222.6,2
531,175,386.75,4169,122.5,2
532,180,397.8,5761,126.0,3
533,72,159.12,3441,50.4,3
534,497,1098.37,3264,347.9,3
535,443,979.03,5909,310.1,2
536,180,397.8,5154,126.0,3
537,436,963.5600000000001,4092,305.2,1
538,216,477.36,5998,151.2,2
539,378,835.38,4547,264.6,1
540,440,972.4,3378,308.0,1
541,412,910.52,2473,288.4,3
542,225,497.25,5273,157.5,1
543,483,1067.43,6034,338.1,1
544,100,221.0,4360,70.0,3
545,146,322.65999999999997,6897,102.2,1
546,424,937.04,4968,296.8,3
547,230,508.3,5539,161.0,2
548,453,1001.13,3742,317.1,1
549,227,501.66999999999996,2366,158.9,2
550,120,265.2,5463,84.0,2
551,134,296.14,1815,93.8,2
552,126,278.46,4060,88.2,3
553,245,541.45,1849,171.5,3
554,268,592.28,2428,187.6,3
555,244,539.24,3776,170.8,1
556,234,517.14,5301,163.8,2
557,210,464.1,3088,147.0,3
558,121,267.40999999999997,6322,84.7,3
559,357,788.97,1516,249.9,3
560,350,773.5,2796,245.0,1
561,315,696.15,6045,220.5,2
562,315,696.15,5378,220.5,2
563,145,320.45,5974,101.5,1
564,107,236.47,6524,74.9,3
565,287,634.27,5759,200.9,2
566,386,853.0600000000001,3519,270.2,2
567,88,194.48,5599,61.6,1
568,440,972.4,6639,308.0,2
569,177,391.16999999999996,4080,123.9,3
570,142,313.82,3065,99.4,2
571,166,366.86,5409,116.2,2
572,144,318.24,4278,100.8,2
573,353,780.13,3321,247.10000000000002,2
574,84,185.64000000000001,4350,58.8,1
575,180,397.8,6145,126.0,3
576,78,172.38,2145,54.6,2
577,480,1060.8,2372,336.0,3
578,477,1054.17,5127,333.9,2
579,355,784.55,2335,248.5,3
580,334,738.1399999999999,5970,233.8,2
581,197,435.36999999999995,3749,137.9,3
582,337,744.77,4410,235.9,3
583,135,298.35,5285,94.5,3
584,160,353.6,2097,112.0,1
585,63,139.23,1715,44.1,3
586,167,369.06999999999994,3173,116.9,3
587,470,1038.7,6334,329.0,2
588,385,850.85,5776,269.5,3
589,434,959.1399999999999,1617,303.8,2
590,203,448.63,3903,142.1,2
591,391,864.11,3984,273.7,3
592,126,278.46,5800,88.2,2
593,182,402.21999999999997,5659,127.4,3
594,354,782.3399999999999,5162,247.8,2
595,376,830.96,2028,263.2,3
596,299,660.79,4047,209.3,2
597,348,769.08,6431,243.60000000000002,3
598,245,541.45,4656,171.5,3
599,205,453.05,1765,143.5,2
600,399,881.79,5793,279.3,2
601,127,280.67,2041,88.9,2
602,434,959.1399999999999,3505,303.8,3
603,455,1005.55,4480,318.5,1
604,491,1085.1100000000001,6271,343.7,2
605,165,364.65,4770,115.5,2
606,449,992.29,5372,314.3,2
607,252,556.92,6473,176.4,1
608,305,674.05,4311,213.5,3
609,124,274.04,5191,86.8,3
610,472,1043.12,4151,330.4,2
611,222,490.61999999999995,5427,155.4,3
612,342,755.8199999999999,1809,239.4,3
613,279,616.59,4995,195.3,1
614,433,956.9300000000001,2744,303.1,2
615,299,660.79,3413,209.3,2
616,244,539.24,6699,170.8,2
617,163,360.23,6845,114.1,1
618,382,844.22,5746,267.4,2
619,313,691.73,2775,219.1,3
620,185,408.85,4923,129.5,1
621,174,384.54,2443,121.80000000000001,3
622,429,948.0899999999999,2085,300.3,3
623,260,574.6,6263,182.0,3
624,73,161.32999999999998,2262,51.1,3
625,76,167.95999999999998,2528,53.2,1
626,209,461.89,4863,146.3,2
627,123,271.83,5885,86.1,2
628,422,932.62,4974,295.4,3
629,463,1023.23,5601,324.1,2
630,377,833.17,2059,263.9,3
631,100,221.0,2182,70.0,3
632,139,307.19,2611,97.3,1
633,64,141.44,5451,44.8,1
634,495,1093.95,1736,346.5,3
635,314,693.9399999999999,2740,219.8,3
636,452,998.92,6359,316.4,3
637,344,760.2399999999999,3095,240.8,3
638,456,1007.76,1797,319.2,1
639,294,649.74,6449,205.8,3
640,213,470.73,4837,149.1,3
641,476,1051.96,3723,333.2,3
642,444,981.2399999999999,5324,310.8,2
643,140,309.4,6422,98.0,3
644,274,605.54,2476,191.8,3
645,333,735.9300000000001,2423,233.10000000000002,2
646,219,483.99,3195,153.3,3
647,427,943.67,3362,298.9,2
648,374,826.54,5613,261.8,2
649,373,824.33,5970,261.1,1
650,441,974.61,3537,308.7,3
651,292,645.3199999999999,4025,204.4,2
652,490,1082.9,3362,343.0,1
653,199,439.79,2875,139.3,1
654,411,908.3100000000001,4942,287.7,1
655,475,1049.75,3909,332.5,3
656,102,225.42000000000002,2306,71.4,3
657,434,959.1399999999999,5674,303.8,1
658,249,550.29,3061,174.3,1
659,216,477.36,3536,151.2,2
660,479,1058.59,2058,335.3,1
661,188,415.48,5558,131.6,3
662,156,344.76,4336,109.2,2
663,433,956.9300000000001,5789,303.1,3
664,286,632.06,4755,200.2,1
665,394,870.7399999999999,4057,275.8,3
666,139,307.19,5540,97.3,3
667,346,764.6600000000001,1650,242.2,2
668,135,298.35,3911,94.5,3
669,297,656.37,6067,207.9,2
670,358,791.1800000000001,3399,250.60000000000002,1
671,323,713.83,2583,226.10000000000002,2
672,99,218.79000000000002,2817,69.3,1
673,223,492.83000000000004,5867,156.1,3
674,142,313.82,2285,99.4,1
675,368,813.28,3606,257.6,2
676,97,214.37,2302,67.9,2
677,141,311.61,5262,98.7,1
678,273,603.33,3735,191.1,2
679,495,1093.95,1866,346.5,3
680,210,464.1,2068,147.0,3
681,407,899.47,2732,284.9,1
682,69,152.49,6844,48.3,1
683,94,207.74,3299,65.8,1
684,489,1080.69,2871,342.3,2
685,75,165.75,1897,52.5,2
686,276,609.96,4048,193.2,2
687,324,716.04,5496,226.8,2
688,352,777.92,1934,246.4,3
689,352,777.92,2308,246.4,2
690,331,731.51,5515,231.7,1
691,66,145.86,6292,46.2,3
692,76,167.95999999999998,3209,53.2,1
693,470,1038.7,2137,329.0,1
694,73,161.32999999999998,6854,51.1,1
695,482,1065.22,4302,337.4,1
696,254,561.34,2700,177.8,2
697,162,358.02,1574,113.4,1
698,418,923.78,6376,292.6,2
699,390,861.9,5683,273.0,1
700,496,1096.16,2536,347.2,3
701,144,318.24,4045,100.8,3
702,128,282.88,2133,89.6,3
703,489,1080.69,3837,342.3,3
704,222,490.61999999999995,4510,155.4,3
705,248,548.08,3212,173.6,3
706,253,559.13,6465,177.1,1
707,193,426.53000000000003,2413,135.1,3
708,365,806.65,2292,255.5,3
709,363,802.23,4826,254.10000000000002,3
710,225,497.25,5395,157.5,3
711,283,625.4300000000001,3820,198.1,3
712,64,141.44,1537,44.8,3
713,397,877.37,2904,277.9,3
714,332,733.72,6949,232.4,3
715,306,676.26,2851,214.2,2
716,425,939.25,5946,297.5,1
717,373,824.33,2200,261.1,3
718,100,221.0,2310,70.0,2
719,73,161.32999999999998,3820,51.1,2
720,167,369.06999999999994,2912,116.9,3
721,81,179.01,3150,56.7,2
722,69,152.49,4855,48.3,1
723,425,939.25,3612,297.5,1
724,138,304.98,4164,96.6,3
725,279,616.59,2476,195.3,1
726,462,1021.02,5998,323.4,1
727,188,415.48,4354,131.6,2
728,97,214.37,5019,67.9,3
729,54,119.34,6639,37.8,2
730,389,859.6899999999999,2686,272.3,2
731,394,870.7399999999999,5065,275.8,3
732,355,784.55,2526,248.5,3
733,151,333.71,2930,105.7,3
734,336,742.5600000000001,6008,235.2,1
735,223,492.83000000000004,2876,156.1,3
736,257,567.97,2870,179.9,3
737,466,1029.8600000000001,2096,326.2,1
738,426,941.46,5571,298.2,3
739,445,983.45,1842,311.5,2
740,341,753.61,5984,238.7,1
741,87,192.27,4557,60.900000000000006,3
742,207,457.46999999999997,3310,144.9,2
743,317,700.5699999999999,3930,221.9,3
744,429,948.0899999999999,2114,300.3,2
745,392,866.3199999999999,2665,274.4,1
746,477,1054.17,6872,333.9,2
747,142,313.82,6740,99.4,2
748,73,161.32999999999998,2154,51.1,2
749,495,1093.95,6860,346.5,2
750,97,214.37,5866,67.9,3
751,371,819.9100000000001,5751,259.7,1
752,239,528.19,6819,167.3,2
753,403,890.63,2247,282.1,1
754,458,1012.1800000000001,4517,320.6,3
755,362,800.02,2662,253.4,3
756,418,923.78,3448,292.6,1
757,243,537.03,2189,170.1,1
758,150,331.5,3613,105.0,2
759,297,656.37,4104,207.9,2
760,240,530.4,4970,168.0,3
761,398,879.58,2658,278.6,1
762,455,1005.55,2352,318.5,1
763,65,143.65,4005,45.5,3
764,498,1100.58,2527,348.6,2
765,315,696.15,6519,220.5,3
766,356,786.76,5081,249.2,1
